symbol,name,market,industry,theme_tags,is_mainstream_theme,sector
2353,宏碁,TWSE,電腦及週邊,NB/PC品牌/AI PC,0,品牌電腦
2303,聯電,TWSE,半導體,晶圓代工/成熟製程,0,半導體
3711,日月光投控,TWSE,半導體,封測/先進封裝,1,封測
6415,矽力-KY,TWSE,IC設計,PMIC/電源管理IC,1,半導體
2379,瑞昱,TWSE,IC設計,網通IC/乙太網路,1,半導體
3034,聯詠,TWSE,IC設計,驅動IC/DDIC,0,半導體
5269,祥碩,TWSE,IC設計,USB/PCIe介面IC,1,半導體
4966,譜瑞-KY,TWSE,IC設計,DP/HDMI橋接IC/AI顯示,1,半導體
3529,力旺,TWSE,半導體,嵌入式記憶體IP,0,半導體
6770,力積電,TWSE,半導體,晶圓代工/DRAM,0,半導體
2376,技嘉,TWSE,電腦及週邊,顯卡/AI伺服器主機板,1,AI Server
2377,微星,TWSE,電腦及週邊,顯卡/AI伺服器/電競,1,AI Server
3697,雲達,TWSE,電腦及週邊,AI伺服器/白牌ODM,1,AI Server
3024,智易,TWSE,網通,WiFi AP/無線,0,網通
5388,中磊,TWSE,網通,寬頻/無線路由器,0,網通
4906,正文,TWSE,網通,5G/天線/電信設備,0,網通
6412,群電,TWSE,電子零組件,AI伺服器電源供應,1,電源散熱
2476,新巨,TWSE,電子零組件,電源供應,0,電源散熱
2880,華南金,TWSE,金融保險,金控/銀行,0,金融
2883,開發金,TWSE,金融保險,金控/創投/銀行,0,金融
2014,中鴻,TWSE,鋼鐵工業,鋼鐵/盤元,0,傳產
2395,研華,TWSE,電腦及週邊,工業電腦/IoT/AI Edge,1,工業電腦
2049,上銀,TWSE,機械工業,精密滾珠螺桿/機器人,1,機械
1590,亞德客-KY,TWSE,機械工業,氣動元件/自動化,0,機械
2474,可成,TWSE,電腦及週邊,機殼/金屬加工,0,電子零組件
3481,群創,TWSE,光電業,LCD面板,0,面板
2408,南亞科,TWSE,半導體,DRAM,0,半導體
2409,友達,TWSE,光電業,LCD面板,0,面板
3008,大立光,TWSE,光電業,手機鏡頭/光學,1,光學
3105,穩懋,TWSE,半導體,GaAs/化合物半導體,0,半導體
2458,義隆,TWSE,IC設計,觸控IC/指紋辨識,0,半導體
8454,富邦媒,TWSE,零售業,電商/momo購物,0,零售
2912,統一超,TWSE,零售業,便利超商,0,零售
5904,寶雅,TWSE,零售業,美妝零售,0,零售
1402,遠東新,TWSE,紡織纖維,聚酯纖維/寶特瓶,0,傳產
1605,華新,TWSE,電線電纜,電纜/銅線,0,傳產
2207,和泰車,TWSE,汽車工業,Toyota代理/汽車,0,汽車
2337,旺宏,TWSE,半導體,NOR Flash/記憶體,0,半導體
3532,台勝科,TWSE,半導體,矽晶圓,0,半導體
2357,華碩,TWSE,電腦及週邊,NB/PC品牌/AI PC,0,品牌電腦
6239,力成,TWSE,半導體,記憶體封測,0,封測
2449,京元電子,TWSE,半導體,IC測試,0,半導體
6488,環球晶,TWSE,半導體,矽晶圓/半導體材料,1,半導體
3014,聯陽,TWSE,IC設計,USB Hub/I/O IC,0,半導體
2023,燁輝,TWSE,鋼鐵工業,鋼板/熱軋,0,傳產
3006,晶豪科,TWSE,IC設計,記憶體IC,0,半導體
1476,儒鴻,TWSE,紡織纖維,功能性布料/運動服,0,傳產
5871,中租-KY,TWSE,金融保險,租賃/中小企業融資,0,金融
2015,豐興,TWSE,鋼鐵工業,電弧爐鋼鐵,0,傳產
4958,臻鼎-KY,TWSE,電路板,FPC軟板,0,PCB
